تسک‌ها,,,,,
تمام کارهای پروژه باید معیار پذیرش روشن داشته باشند؛ وضعیت را فقط از فهرست‌های همین ستون انتخاب کنید.,,,,,
ID,اولویت,تسک,معیار پذیرش,توضیحات,وضعیت
T-001,فوری,تکمیل و تأیید نیازمندی‌های نسخه نخست,ماده ۲ قرارداد و موارد خارج از محدوده تأیید کتبی شوند.,تعداد کاربران، گروه‌ها، حجم فایل و فرمت‌های مجاز مشخص شود.,در حال انجام
T-002,فوری,تعیین نماینده تصمیم‌گیر کارفرما,نام و راه ارتباطی یک نماینده رسمی ثبت شود.,مرجع تأیید تحلیل، طراحی و پذیرش.,در انتظار شروع
T-003,فوری,تأیید مدل نقش‌ها و سطح دسترسی,تعریف نقش‌های مدیر سامانه، مدیر گروه، کاربر و مشاهده‌گر تأیید شود.,فهرست دقیق عملیات هر نقش ضمیمه تحلیل می‌شود.,در انتظار شروع
T-004,بالا,تعیین سیاست فرمت و حجم فایل,لیست فرمت‌های مجاز و حداکثر حجم هر فایل ثبت شود.,پیشنهاد اولیه: TXT، PDF، DOCX، XLSX، PPTX.,در انتظار شروع
T-005,بالا,انتخاب نام و دامنه سامانه,دامنه یا زیردامنه قابل استفاده مشخص شود.,نمونه: files.example.ir.,در انتظار شروع
T-006,بالا,تهیه سرور و فضای ذخیره‌سازی,دسترسی مدیریت سرور و ظرفیت اولیه فراهم شود.,پیشنهاد اولیه: ۲ vCPU، ۴GB RAM و ۱۰۰GB SSD.,در انتظار شروع
T-007,بالا,طراحی معماری و مدل داده,نمودار داده و تصمیم ذخیره‌سازی تأیید شوند.,کاربران، گروه‌ها، فایل‌ها، مجوزها و رویدادها.,در انتظار شروع
T-008,بالا,طراحی صفحه ورود و بازیابی دسترسی,نمونه رابط کاربری توسط کارفرما تأیید شود.,بدون ذخیره رمز به‌صورت متن ساده.,در انتظار شروع
T-009,بالا,طراحی صفحه فهرست و جزئیات فایل,کاربر بتواند فقط فایل‌های مجاز را ببیند و دریافت کند.,فیلتر و جست‌وجوی پایه در نسخه نخست.,در انتظار شروع
T-010,بالا,طراحی پنل مدیریت,صفحات کاربران، گروه‌ها، دسترسی‌ها و رخدادها تأیید شوند.,مدیریت فایل و سیاست حجم / فرمت نیز در پنل پیش‌بینی شود.,در انتظار شروع
T-011,فوری,پیاده‌سازی احراز هویت و مدیریت نشست,ورود / خروج امن و نقش کاربر در سمت سرور کنترل شود.,هش گذرواژه و نشست امن الزامی است.,در انتظار شروع
T-012,فوری,پیاده‌سازی نقش‌ها و مجوزهای فایل,سناریوی کاربر مجاز و غیرمجاز در آزمون عبور کند.,مجوزهای مشاهده، دریافت، بارگذاری و مدیریت.,در انتظار شروع
T-013,فوری,پیاده‌سازی بارگذاری و دریافت فایل,اعتبارسنجی فرمت و حجم و ثبت اطلاعات فایل انجام شود.,مسیر ذخیره‌سازی نباید مستقیماً در اختیار کاربر باشد.,در انتظار شروع
T-014,بالا,پیاده‌سازی مدیریت کاربران و گروه‌ها,مدیر بتواند کاربر و گروه ایجاد، ویرایش و غیرفعال کند.,ثبت تغییرات مهم در لاگ.,در انتظار شروع
T-015,بالا,پیاده‌سازی گزارش رخداد,رخدادهای ورود، دریافت و بارگذاری با تاریخ و کاربر دیده شوند.,فیلتر پایه برای مدیر سامانه.,در انتظار شروع
T-016,بالا,تنظیم HTTPS و Reverse Proxy,سامانه فقط با HTTPS در دسترس باشد.,گواهی و تنظیم تمدید باید مستند شوند.,در انتظار شروع
T-017,بالا,تنظیم برنامه پشتیبان‌گیری,بکاپ دیتابیس و فایل‌ها در محل جدا ثبت و بازیابی آزمایشی شود.,تناوب و محل نگهداری با کارفرما توافق می‌شود.,در انتظار شروع
T-018,فوری,آزمون دسترسی و امنیت پایه,AC-01 تا AC-08 بدون خطای بحرانی عبور کنند.,ثبت نتیجه آزمون در وضعیت پروژه.,در انتظار شروع
T-019,بالا,تدوین راهنمای مدیر سامانه,راهنما شامل کاربر، گروه، فایل، لاگ و رفع خطای پایه باشد.,فایل راهنما با هر تغییر قابلیت به‌روز شدن دارد.,در انتظار شروع
T-020,بالا,تدوین راهنمای استقرار و بازیابی,دستورالعمل نصب، متغیرهای محیطی و بازیابی قابل اجرا باشد.,اطلاعات محرمانه داخل مخزن کد ثبت نشود.,در انتظار شروع
T-021,متوسط,آموزش مدیر سامانه,جلسه کوتاه آموزش و پرسش و پاسخ انجام شود.,پس از استقرار نسخه نهایی.,در انتظار شروع
T-022,فوری,تحویل کد، مستندات و دسترسی‌ها,مالکیت و راهنمای دسترسی‌ها به کارفرما منتقل شود.,پس از تسویه مرحله نهایی.,در انتظار شروع
T-023,متوسط,بازبینی پشتیبانی فنی پس از تحویل,مسیر ثبت درخواست، مسئول پاسخ‌گویی و پوشش یک‌ساله پشتیبانی فنی ثبت شود.,پشتیبانی فنی سامانه تا یک سال پس از تحویل، طبق قرارداد.,در انتظار شروع
