پالت رنگی,,,,
نسخه موقت بر اساس توضیح «سرمه‌ای و سفید»؛ پس از دریافت لوگوی اصلی، کدهای نهایی جایگزین شوند. زمینه صفحات سفید یا بسیار روشن باقی می‌ماند.,,,,
نام رنگ,کد HEX,کاربرد,نمونه,ملاحظات
سفید,#FFFFFF,پس‌زمینه اصلی صفحات و شیت‌ها,,از پس‌زمینه سرمه‌ای یک‌دست استفاده نشود.
سرمه‌ای اصلی,#12345B,عنوان‌ها، آیکون‌های اصلی، مرزبندی‌های مهم,,برای متن روی زمینه روشن؛ نه زمینه کلی صفحه.
آبی میانی,#2E5E8C,لینک‌ها، حالت فعال و خطوط تأکیدی,,برای تعامل‌ها و تأکید محدود.
آبی خیلی روشن,#E8EEF5,سرتیتر جدول، پنل‌های ثانویه و پس‌زمینه ملایم,,جانشین مناسب برای نوارهای سرمه‌ای سنگین.
خاکستری روشن,#F2F4F7,خطوط جداکننده و سطوح کم‌اهمیت,,کنتراست متن باید حفظ شود.
متن تیره,#1F2937,متن اصلی,,برای خوانایی متن‌های طولانی.
متن ثانویه,#5B6573,توضیحات و فراداده,,برای متن‌های کم‌اهمیت؛ نه پیام‌های خطا.
طلایی ملایم,#896B17,تأکید محدود، هشدار ملایم و برچسب نسخه,,در حد جزئی و بدون رقابت با سرمه‌ای.
موفقیت,#E4F4EA,وضعیت تکمیل‌شده,,همراه با متن سبز تیره.
هشدار,#FFF5D6,در حال انجام یا نیازمند توجه,,همراه با متن قهوه‌ای تیره.
خطا,#FDEBEC,مسدود یا خطا,,همراه با متن قرمز تیره.
